,id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip
0,168,40.73971301,-73.99456405,0,,,,,,,
1,450,40.76227205,-73.98788205,0,,,,,,,
2,312,40.722055,-73.989111,0,,,,,,,
3,382,40.73492695,-73.99200509,0,,,,,,,
4,352,40.76340613,-73.97722479,0,,,,,,,
5,212,40.74334935,-74.00681753,0,,,,,,,
6,388,40.74971775,-74.00295035,0,,,,,,,
7,492,40.75019995,-73.99093085,0,,,,,,,
8,387,40.71273266,-74.0046073,0,,,,,,,
9,285,40.73454567,-73.99074142,0,,,,,,,
12,476,40.74394314,-73.97966069,0,,,,,,,
13,263,40.71729,-73.996375,0,,,,,,,
14,79,40.71911552,-74.00666661,0,,,,,,,
15,379,40.749156,-73.9916,0,,,,,,,
16,368,40.73038599,-74.00214988,0,,,,,,,
17,336,40.73047747,-73.99906065,0,,,,,,,
18,426,40.71754834,-74.01322069,0,,,,,,,
19,281,40.7643971,-73.97371465,0,,,,,,,
20,229,40.72743423,-73.99379025,0,,,,,,,
21,439,40.7262807,-73.98978041,0,,,,,,,
22,347,40.728846,-74.008591,0,,,,,,,
23,293,40.73028666,-73.9907647,0,,,,,,,
24,329,40.72043411,-74.01020609,0,,,,,,,
25,3002,40.711512,-74.015756,0,,,,,,,
27,335,40.72903917,-73.99404649,0,,,,,,,
28,502,40.714215,-73.981346,0,,,,,,,
29,261,40.69474881,-73.98362464,0,,,,,,,
30,497,40.73704984,-73.99009296,0,,,,,,,
31,491,40.74096374,-73.98602213,0,,,,,,,
32,251,40.72317958,-73.99480012,0,,,,,,,
33,445,40.72740794,-73.98142006,0,,,,,,,
35,444,40.7423543,-73.98915076,0,,,,,,,
36,161,40.72917025,-73.99810231,0,,,,,,,
37,252,40.73226398,-73.99852205,0,,,,,,,
38,428,40.72467721,-73.98783413,0,,,,,,,
40,395,40.68807003,-73.98410637,0,,,,,,,
41,515,40.76009437,-73.99461843,0,,,,,,,
42,237,40.73047309,-73.98672378,0,,,,,,,
43,459,40.746745,-74.007756,0,,,,,,,
45,280,40.73331967,-73.99510132,0,,,,,,,
46,393,40.72299208,-73.97995466,0,,,,,,,
50,268,40.71910537,-73.99973337,0,,,,,,,
52,2022,40.759107,-73.959223,0,,,,,,,
53,350,40.71559509,-73.9870295,0,,,,,,,
54,453,40.74475148,-73.99915362,0,,,,,,,
56,303,40.72362738,-73.99949601,0,,,,,,,
57,2003,40.73381219,-73.98054421,0,,,,,,,
58,529,40.7575699,-73.99098507,0,,,,,,,
59,410,40.72066442,-73.98517977,0,,,,,,,
61,217,40.70277159,-73.99383605,0,,,,,,,
62,2008,40.70569254,-74.01677685,0,,,,,,,
63,490,40.751551,-73.993934,0,,,,,,,
67,116,40.74177603,-74.00149746,0,,,,,,,
68,385,40.75797322,-73.96603308,0,,,,,,,
70,532,40.710451,-73.960876,0,,,,,,,
75,499,40.76915505,-73.98191841,0,,,,,,,
77,349,40.71850211,-73.98329859,0,,,,,,,
78,527,40.744023,-73.976056,0,,,,,,,
79,466,40.74395411,-73.99144871,0,,,,,,,
81,300,40.728145,-73.990214,0,,,,,,,
83,238,40.7361967,-74.00859207,0,,,,,,,
84,236,40.7284186,-73.98713956,0,,,,,,,
86,479,40.76019252,-73.9912551,0,,,,,,,
87,345,40.73649403,-73.99704374,0,,,,,,,
88,397,40.68415748,-73.96922273,0,,,,,,,
89,504,40.73221853,-73.98165557,0,,,,,,,
90,361,40.71605866,-73.99190759,0,,,,,,,
92,447,40.76370739,-73.9851615,0,,,,,,,
93,128,40.72710258,-74.00297088,0,,,,,,,
95,146,40.71625008,-74.0091059,0,,,,,,,
97,431,40.68864636,-73.98263429,0,,,,,,,
98,250,40.72456089,-73.99565293,0,,,,,,,
101,160,40.748238,-73.978311,0,,,,,,,
102,225,40.74195138,-74.00803013,0,,,,,,,
103,380,40.73401143,-74.00293877,0,,,,,,,
107,493,40.7568001,-73.98291153,0,,,,,,,
108,369,40.73224119,-74.00026394,0,,,,,,,
109,311,40.7172274,-73.98802084,0,,,,,,,
111,507,40.73912601,-73.97973776,0,,,,,,,
112,537,40.74025878,-73.98409214,0,,,,,,,
114,441,40.756014,-73.967416,0,,,,,,,
115,461,40.73587678,-73.98205027,0,,,,,,,
116,454,40.75455731,-73.96592976,0,,,,,,,
119,357,40.73261787,-73.99158043,0,,,,,,,
120,2009,40.71117444,-73.99682619,0,,,,,,,
121,295,40.71406667,-73.99293911,0,,,,,,,
122,2012,40.739445,-73.976806,0,,,,,,,
123,482,40.73935542,-73.99931783,0,,,,,,,
124,346,40.73652889,-74.00618026,0,,,,,,,
127,496,40.73726186,-73.99238967,0,,,,,,,
132,526,40.74765947,-73.98490707,0,,,,,,,
133,455,40.75001986,-73.96905301,0,,,,,,,
134,254,40.73532427,-73.99800419,0,,,,,,,
136,486,40.7462009,-73.98855723,0,,,,,,,
137,485,40.75038009,-73.98338988,0,,,,,,,
138,334,40.74238787,-73.99726235,0,,,,,,,
139,257,40.71939226,-74.00247214,0,,,,,,,
140,358,40.73291553,-74.00711384,0,,,,,,,
141,435,40.74173969,-73.99415556,0,,,,,,,
144,494,40.74734825,-73.99723551,0,,,,,,,
149,321,40.69991755,-73.98971773,0,,,,,,,
151,430,40.7014851,-73.98656928,0,,,,,,,
153,471,40.71286844,-73.95698119,0,,,,,,,
157,318,40.75320159,-73.9779874,0,,,,,,,
160,503,40.73827428,-73.98751968,0,,,,,,,
161,174,40.7381765,-73.97738662,0,,,,,,,
162,153,40.75206231,-73.9816324,0,,,,,,,
166,423,40.76584941,-73.98690506,0,,,,,,,
170,449,40.76461837,-73.98789473,0,,,,,,,
171,306,40.70823502,-74.00530063,0,,,,,,,
172,389,40.71044554,-73.96525063,0,,,,,,,
176,383,40.735238,-74.000271,0,,,,,,,
179,458,40.751396,-74.005226,0,,,,,,,
180,528,40.74290902,-73.97706058,0,,,,,,,
181,2021,40.75929124,-73.98859651,0,,,,,,,
182,360,40.70717936,-74.00887308,0,,,,,,,
183,501,40.744219,-73.97121214,0,,,,,,,
186,489,40.75066386,-74.00176802,0,,,,,,,
187,531,40.71893904,-73.99266288,0,,,,,,,
188,545,40.736502,-73.97809472,0,,,,,,,
189,521,40.75096735,-73.99444208,0,,,,,,,
194,83,40.68382604,-73.97632328,0,,,,,,,
195,147,40.71542197,-74.01121978,0,,,,,,,
198,224,40.71146364,-74.00552427,0,,,,,,,
199,470,40.74345335,-74.00004031,0,,,,,,,
201,433,40.72955361,-73.98057249,0,,,,,,,
203,342,40.71739973,-73.98016555,0,,,,,,,
209,372,40.694528,-73.958089,0,,,,,,,
211,274,40.68691865,-73.976682,0,,,,,,,
212,324,40.689888,-73.981013,0,,,,,,,
214,523,40.75466591,-73.99138152,0,,,,,,,
215,247,40.73535398,-74.00483091,0,,,,,,,
218,232,40.69597683,-73.99014892,0,,,,,,,
222,258,40.68940747,-73.96885458,0,,,,,,,
229,157,40.69089272,-73.99612349,0,,,,,,,
237,463,40.74206539,-74.00443172,0,,,,,,,
238,195,40.70905623,-74.01043382,0,,,,,,,
239,223,40.73781509,-73.99994661,0,,,,,,,
251,442,40.746647,-73.993915,0,,,,,,,
252,510,40.7606597,-73.98042047,0,,,,,,,
255,446,40.74487634,-73.99529885,0,,,,,,,
256,275,40.68650065,-73.96563307,0,,,,,,,
258,498,40.74854862,-73.98808416,0,,,,,,,
263,522,40.75714758,-73.97207836,0,,,,,,,
264,2010,40.72165481,-74.00234737,0,,,,,,,
267,151,40.7218158,-73.99720307,0,,,,,,,
268,401,40.72019576,-73.98997825,0,,,,,,,
271,265,40.72229346,-73.99147535,0,,,,,,,
273,294,40.73049393,-73.9957214,0,,,,,,,
274,465,40.75513557,-73.98658032,0,,,,,,,
276,519,40.751873,-73.977706,0,,,,,,,
279,376,40.70862144,-74.00722156,0,,,,,,,
288,536,40.74144387,-73.97536082,0,,,,,,,
289,279,40.707873,-74.00167,0,,,,,,,
295,315,40.70355377,-74.00670227,0,,,,,,,
312,457,40.76695317,-73.98169333,0,,,,,,,
313,290,40.76020258,-73.96478473,0,,,,,,,
315,478,40.76030096,-73.99884222,0,,,,,,,
318,448,40.75660359,-73.9979009,0,,,,,,,
319,404,40.7405826,-74.00550867,0,,,,,,,
320,402,40.7403432,-73.98955109,0,,,,,,,
323,127,40.73172428,-74.00674436,0,,,,,,,
326,434,40.74317449,-74.00366443,0,,,,,,,
327,432,40.72621788,-73.98379855,0,,,,,,,
329,308,40.71307916,-73.99851193,0,,,,,,,
333,539,40.71534825,-73.96024116,0,,,,,,,
337,296,40.71413089,-73.9970468,0,,,,,,,
339,546,40.74444921,-73.98303529,0,,,,,,,
345,297,40.734232,-73.986923,0,,,,,,,
347,533,40.75299641,-73.98721619,0,,,,,,,
357,477,40.75640548,-73.9900262,0,,,,,,,
358,307,40.71427487,-73.98990025,0,,,,,,,
359,284,40.73901691,-74.00263761,0,,,,,,,
372,483,40.73223272,-73.98889957,0,,,,,,,
379,325,40.73624527,-73.98473765,0,,,,,,,
381,488,40.75645824,-73.99372222,0,,,,,,,
382,317,40.72453734,-73.98185424,0,,,,,,,
385,422,40.770513,-73.988038,0,,,,,,,
387,443,40.70853074,-73.96408963,0,,,,,,,
392,173,40.76064679,-73.98442659,0,,,,,,,
399,365,40.68223166,-73.9614583,0,,,,,,,
400,469,40.76344058,-73.98268129,0,,,,,,,
405,474,40.7451677,-73.98683077,0,,,,,,,
414,403,40.72502876,-73.99069656,0,,,,,,,
415,320,40.717571,-74.005549,0,,,,,,,
421,475,40.73524276,-73.98758561,0,,,,,,,
432,508,40.76341379,-73.99667444,0,,,,,,,
440,348,40.72490985,-74.00154702,0,,,,,,,
443,355,40.71602118,-73.99974372,0,,,,,,,
444,2004,40.724399,-74.004704,0,,,,,,,
446,511,40.72938685,-73.97772429,0,,,,,,,
